n,i,total_comparisons,elapsed_seconds
5,2,4,0.001378
6,2,5,0.002131
7,2,6,0.005548
8,2,7,0.013719
9,2,8,0.036921
10,2,9,0.154318
11,2,10,0.477367
12,2,11,1.560746
13,2,12,4.399987
14,2,13,14.765232
15,2,14,54.208984
16,2,15,221.357963

7,3,6,0.004951
8,3,7,0.032990
9,3,8,0.188837
10,3,9,1.193567
11,3,10,9.131140
12,3,11,80.174002
13,3,12,403.757387
14,3,13,1663.826691
15,3,14,7923.455204
5,2,4,0.000298
6,2,5,0.000655
7,2,6,0.001639
8,2,7,0.005784
9,2,8,0.019723
10,2,9,0.070779
11,2,10,0.227815
12,2,11,0.737733
13,2,12,2.470910
14,2,13,7.329027
15,2,14,23.028298
16,2,15,76.688614
