n,i,total_comparisons,elapsed_seconds
5,2,6,0.001379
6,2,7,0.003366
7,2,9,0.010062
8,2,10,0.042234
9,2,12,0.189778
10,2,13,0.782730
11,2,14,3.134411
12,2,15,13.043242
13,2,17,57.994852
14,2,18,218.847998
15,2,19,876.386497
16,2,20,3552.878646

7,3,9,0.010502
8,3,11,0.105118
9,3,12,0.899334
10,3,13,7.480380
11,3,14,56.376965
12,3,15,435.246845
13,3,16,3150.662761
14,3,17,23134.636916
15,3,19,150358.601531
5,2,6,0.000380
6,2,7,0.001054
7,2,9,0.004162
8,2,10,0.017390
9,2,11,0.074577
10,2,12,0.270455
11,2,13,1.214118
12,2,15,4.478899
13,2,16,17.200156
14,2,17,58.865011
15,2,18,230.129200
16,2,19,742.547285
