n,i,total_comparisons,elapsed_seconds
5,2,4,0.001202
6,2,5,0.003095
7,2,6,0.004175
8,2,7,0.014595
9,2,8,0.035618
10,2,9,0.142236
11,2,10,0.424681
12,2,11,1.339382
13,2,12,4.390806
14,2,13,14.012502
15,2,14,44.443272
16,2,15,138.046967

7,3,6,0.002705
8,3,7,0.019472
9,3,8,0.149999
10,3,9,1.044474
11,3,10,6.896621
12,3,11,47.910579
13,3,12,262.931891
14,3,13,1552.227799
15,3,14,8039.034697
5,2,4,0.000300
6,2,5,0.000928
7,2,6,0.001637
8,2,7,0.005662
9,2,8,0.020301
10,2,9,0.067565
11,2,10,0.228049
12,2,11,0.741516
13,2,12,2.352087
14,2,13,7.264763
15,2,14,23.255935
16,2,15,72.849751
