n,i,total_comparisons,elapsed_seconds
5,2,6,0.000380
6,2,7,0.001054
7,2,9,0.004162
8,2,10,0.017390
9,2,11,0.074577
10,2,12,0.270455
11,2,13,1.214118
12,2,15,4.478899
13,2,16,17.200156
14,2,17,58.865011
15,2,18,230.129200
16,2,19,742.547285

7,3,9,0.010778
8,3,11,0.105607
9,3,12,0.923212
10,3,13,7.358803
11,3,14,56.724582
12,3,15,427.165251
13,3,16,3117.406787
14,3,17,20712.369808
15,3,19,150358.601531


