n,i,total_comparisons,elapsed_seconds
5,2,4,0.001605
6,2,5,0.001628
7,2,6,0.003017
8,2,7,0.008210
9,2,8,0.019955
10,2,9,0.065116
11,2,10,0.180963
12,2,11,0.520878
13,2,12,1.568026
14,2,13,4.430418
15,2,14,13.873301
16,2,15,37.237633
5,0,4,0.000673
5,1,4,0.000970
6,0,5,0.000744
6,1,5,0.002008
7,0,6,0.000707
7,1,6,0.001363
7,3,6,0.003984
8,0,7,0.000774
8,1,7,0.002015
8,3,7,0.007834
9,0,8,0.001231
9,1,8,0.003749
9,3,8,0.032708
9,4,8,0.039462
10,0,9,0.001541
10,1,9,0.004762
10,3,9,0.138750
10,4,9,0.172130
11,0,10,0.001945
11,1,10,0.009719
11,3,10,0.670171
11,4,10,0.887602
11,5,10,1.035785
12,0,11,0.001562
12,1,11,0.011144
12,3,11,2.271503
12,4,11,4.428085
12,5,11,5.358553
6,0,5,0.000177
7,0,6,0.000243
7,3,6,0.001292
8,3,7,0.003995
9,3,8,0.017773
10,3,9,0.071639
11,3,10,0.316662
12,3,11,1.275021
13,3,12,5.615055
14,3,13,22.729736
15,3,14,95.894009
