n,i,total_comparisons,elapsed_seconds
5,2,6,0.001289
6,2,7,0.002224
7,2,8,0.006358
8,2,9,0.027593
9,2,10,0.083038
10,2,11,0.272428
11,2,12,0.994806
12,2,13,3.229666
13,2,14,10.988529
14,2,15,36.913480
15,2,16,138.212888
16,2,17,539.295205

7,3,8,0.004631
8,3,9,0.034256
9,3,10,0.262296
10,3,11,1.764558
11,3,12,10.956953
12,3,13,60.176777
13,3,14,346.685859
14,3,15,1584.152372
15,3,16,8552.588230
5,2,6,0.000355
6,2,7,0.000955
7,2,8,0.002796
8,2,9,0.011013
9,2,10,0.043332
10,2,11,0.154617
11,2,12,0.563003
12,2,13,1.929459
13,2,14,6.213287
14,2,15,20.817686
15,2,16,68.095997
16,2,17,218.113026
